rule_id,course_id,alternative_course_id
1,703049001,
1,703957001,
1,703002001,
1,703009001,
1,703955001,
1,703008001,
1,703017001,
1,703007001,
1,703056001,
1,703022001,
1,703014001,
1,703015001,
1,703016001,
1,703019001,
1,000713011,calc1
1,000713021,calc1
1,000713031,calc1
1,000713012,calc2
1,000713022,calc2
1,000713032,calc2
2,703044001,PA1
2,703044011,PA1
2,703044021,PA1
2,703044031,PA1
2,703045001,PA2
2,703045011,PA2
2,703045021,PA2
2,703045031,PA2
3,703025001,PB
3,703837001,PB
3,703901001,PB
3,703053001,PB
3,703055001,PC
3,703842001,PC
3,703053001,PC
3,703061001,PC
3,703060001,PD
3,703027001,PE
3,703819001,PE
3,703039001,PE
3,703042001,PE
3,703059001,PE
